model,split,tag,acc,prec,recall,f1
NaiveBayes,random,spam_assassin_rand,0.9594477998274374,1.0,0.8759894459102903,0.9338959212376935
LogReg,random,spam_assassin_rand,0.9853321829163072,0.9865591397849462,0.9683377308707124,0.9773635153129161
LinearSVM,random,spam_assassin_rand,0.9930974978429681,0.9946666666666667,0.9841688654353562,0.9893899204244031
NaiveBayes,random,enron_rand,0.9918578830495929,0.9918176504967855,0.9921075708857059,0.9919625895075258
LogReg,random,enron_rand,0.9875647668393782,0.9801438848920864,0.9956153171587255,0.9878190255220418
LinearSVM,random,enron_rand,0.9931902294596595,0.990409764603313,0.9961999415375621,0.9932964150393471
NaiveBayes,time,enron_time,0.8962250185048113,0.9996626749873503,0.8945064895864775,0.9441656710473915
LogReg,time,enron_time,0.9746854182087342,0.9895343546185348,0.9846060971928765,0.9870640744383086
LinearSVM,time,enron_time,0.970540340488527,0.9921886965844693,0.9776637488680954,0.9848726719878373
NaiveBayes,random,trec2007_rand,0.9930052615289384,0.99116449915616,0.9976019184652278,0.9943727901996913
LogReg,random,trec2007_rand,0.9953574744661096,0.995016445729094,0.997501998401279,0.9962576717728656
LinearSVM,random,trec2007_rand,0.996595481275147,0.9964089775561097,0.998101518784972,0.997254530025458
NaiveBayes,random,combined_rand,0.9897793842702232,0.9905947040949211,0.9915990730011588,0.9910966340933767
LogReg,random,combined_rand,0.989945573143878,0.9889705882352942,0.9935544611819235,0.991257225433526
LinearSVM,random,combined_rand,0.9943911255141469,0.9935032123005847,0.9967410196987254,0.9951194823036044
