model,tag,split,acc,prec,recall,f1,train_frac,n_train,n_test
NaiveBayes,combined_frac_10,learning_curve,0.9757364244463833,0.9802440441603719,0.977404403244496,0.9788221642007543,0.1,9627,24069
LogReg,combined_frac_10,learning_curve,0.9807220906560306,0.980830210435284,0.9856604866743917,0.9832394162693252,0.1,9627,24069
LinearSVM,combined_frac_10,learning_curve,0.9857493040840916,0.9845268082043901,0.9907300115874855,0.9876186694581814,0.1,9627,24069
NaiveBayes,combined_frac_20,learning_curve,0.9798911462877561,0.985426989215972,0.9794322132097335,0.9824204561964259,0.2,19254,24069
LogReg,combined_frac_20,learning_curve,0.9840458681291288,0.9828776978417266,0.9894264194669756,0.9861411866608921,0.2,19254,24069
LinearSVM,combined_frac_20,learning_curve,0.9886576093730525,0.9866954332973751,0.9936268829663963,0.9901490275322052,0.2,19254,24069
NaiveBayes,combined_frac_30,learning_curve,0.9845028875316798,0.9866695645874085,0.9863122827346466,0.9864908913114339,0.3,28881,24069
LogReg,combined_frac_30,learning_curve,0.9856246624288504,0.9842446043165468,0.9908024333719583,0.987512631730908,0.3,28881,24069
LinearSVM,combined_frac_30,learning_curve,0.9910673480410487,0.9894145603802117,0.9950753186558516,0.9922368658602635,0.3,28881,24069
NaiveBayes,combined_frac_40,learning_curve,0.9858739457393327,0.9876176683562635,0.987760718424102,0.9876891882105873,0.4,38509,24069
LogReg,combined_frac_40,learning_curve,0.9864140595787112,0.9851025548758546,0.9913093858632677,0.9881962242356422,0.4,38509,24069
LinearSVM,combined_frac_40,learning_curve,0.9916074618804271,0.9897768178545716,0.9956546929316339,0.9927070546609864,0.4,38509,24069
NaiveBayes,combined_frac_50,learning_curve,0.9867464373260211,0.9881305637982196,0.9887746234067207,0.9884524886877828,0.5,48137,24069
LogReg,combined_frac_50,learning_curve,0.987369645602227,0.9864553314121037,0.9915990730011588,0.9890205143022247,0.5,48137,24069
LinearSVM,combined_frac_50,learning_curve,0.992396859030288,0.990566717073522,0.996234067207416,0.9933923090810615,0.5,48137,24069
NaiveBayes,combined_frac_60,learning_curve,0.9871619095101583,0.9884217381865548,0.9892091541135574,0.9888152893908134,0.6,57764,24069
LogReg,combined_frac_60,learning_curve,0.9883667788441564,0.9872496758392163,0.9925405561993047,0.9898880462260744,0.6,57764,24069
LinearSVM,combined_frac_60,learning_curve,0.9928954256512527,0.9914234234234234,0.996234067207416,0.9938229238160604,0.6,57764,24069
NaiveBayes,combined_frac_70,learning_curve,0.9878266650047779,0.9892130601607182,0.9895712630359212,0.9893921291770755,0.7,67392,24069
LogReg,combined_frac_70,learning_curve,0.9888237982467074,0.9878918918918919,0.9926853997682503,0.99028284506737,0.7,67392,24069
LinearSVM,combined_frac_70,learning_curve,0.9931862561801488,0.9919238534756274,0.996234067207416,0.9940742881919353,0.7,67392,24069
