model,tag,split,acc,prec,recall,f1,train_frac,n_train,n_test
NaiveBayes,enron_frac_10,learning_curve,0.982679496669134,0.9833235810415447,0.9824612686349021,0.9828922357069748,0.1,2701,6755
LogReg,enron_frac_10,learning_curve,0.9757216876387861,0.9588616511693435,0.9947383805904706,0.9764705882352942,0.1,2701,6755
LinearSVM,enron_frac_10,learning_curve,0.9822353811991118,0.9733295096071122,0.9921075708857059,0.9826288361320209,0.1,2701,6755
NaiveBayes,enron_frac_20,learning_curve,0.9853441894892672,0.985672514619883,0.9853843905290851,0.9855284315158603,0.2,5403,6755
LogReg,enron_frac_20,learning_curve,0.9791265729089563,0.9648526077097506,0.9950306927798889,0.9797093106921859,0.2,5403,6755
LinearSVM,enron_frac_20,learning_curve,0.9862324204293116,0.9792626728110599,0.9938614440222158,0.9865080516465979,0.2,5403,6755
NaiveBayes,enron_frac_30,learning_curve,0.9865284974093265,0.9865575686732905,0.9868459514761766,0.9867017390033611,0.3,8105,6755
LogReg,enron_frac_30,learning_curve,0.9810510732790525,0.9678886047172492,0.9956153171587255,0.9815561959654179,0.3,8105,6755
LinearSVM,enron_frac_30,learning_curve,0.9868245743893412,0.9798387096774194,0.9944460684010523,0.9870883505005078,0.3,8105,6755
NaiveBayes,enron_frac_40,learning_curve,0.9894892672094745,0.9889083479276124,0.9903536977491961,0.9896304951073464,0.4,10807,6755
LogReg,enron_frac_40,learning_curve,0.9831236121391562,0.9712168709033913,0.9961999415375621,0.9835497835497835,0.4,10807,6755
LinearSVM,enron_frac_40,learning_curve,0.9883049592894152,0.9815561959654179,0.9956153171587255,0.9885357712958932,0.4,10807,6755
NaiveBayes,enron_frac_50,learning_curve,0.990081421169504,0.9900642898889538,0.9903536977491961,0.9902089726728043,0.5,13510,6755
LogReg,enron_frac_50,learning_curve,0.9843079200592154,0.9731658578361404,0.9964922537269805,0.9846909300982092,0.5,13510,6755
LinearSVM,enron_frac_50,learning_curve,0.9896373056994818,0.98438855160451,0.9953230049693073,0.9898255813953488,0.5,13510,6755
NaiveBayes,enron_frac_60,learning_curve,0.9905255366395262,0.9906460099386144,0.9906460099386144,0.9906460099386144,0.6,16211,6755
LogReg,enron_frac_60,learning_curve,0.984159881569208,0.9736992567181246,0.9956153171587255,0.9845353374765139,0.6,16211,6755
LinearSVM,enron_frac_60,learning_curve,0.9903774981495189,0.9855324074074074,0.9956153171587255,0.9905482041587902,0.6,16211,6755
NaiveBayes,enron_frac_70,learning_curve,0.9909696521095485,0.9915155061439438,0.9906460099386144,0.9910805673344056,0.7,18913,6755
LogReg,enron_frac_70,learning_curve,0.984900074019245,0.9750930432293158,0.9956153171587255,0.9852473242695979,0.7,18913,6755
LinearSVM,enron_frac_70,learning_curve,0.9903774981495189,0.9855324074074074,0.9956153171587255,0.9905482041587902,0.7,18913,6755
