model,tag,split,acc,prec,recall,f1,train_frac,n_train,n_test
NaiveBayes,spam_assassin_frac_10,learning_curve,0.899913718723037,1.0,0.6939313984168866,0.8193146417445483,0.1,463,1159
LogReg,spam_assassin_frac_10,learning_curve,0.9646246764452114,0.9567567567567568,0.9340369393139841,0.945260347129506,0.1,463,1159
LinearSVM,spam_assassin_frac_10,learning_curve,0.9775668679896462,0.9889196675900277,0.941952506596306,0.9648648648648648,0.1,463,1159
NaiveBayes,spam_assassin_frac_20,learning_curve,0.9180327868852459,1.0,0.7493403693931399,0.856711915535445,0.2,927,1159
LogReg,spam_assassin_frac_20,learning_curve,0.9715271786022434,0.9726775956284153,0.9393139841688655,0.9557046979865771,0.2,927,1159
LinearSVM,spam_assassin_frac_20,learning_curve,0.9844693701466781,0.9972451790633609,0.9551451187335093,0.9757412398921832,0.2,927,1159
NaiveBayes,spam_assassin_frac_30,learning_curve,0.9370146678170836,1.0,0.8073878627968337,0.8934306569343065,0.3,1390,1159
LogReg,spam_assassin_frac_30,learning_curve,0.9732528041415013,0.9754098360655737,0.941952506596306,0.9583892617449664,0.3,1390,1159
LinearSVM,spam_assassin_frac_30,learning_curve,0.9861949956859362,0.9945504087193461,0.9630606860158312,0.9785522788203753,0.3,1390,1159
NaiveBayes,spam_assassin_frac_40,learning_curve,0.9387402933563417,1.0,0.8126649076517151,0.8966521106259098,0.4,1854,1159
LogReg,spam_assassin_frac_40,learning_curve,0.9732528041415013,0.9754098360655737,0.941952506596306,0.9583892617449664,0.4,1854,1159
LinearSVM,spam_assassin_frac_40,learning_curve,0.9896462467644521,0.9946091644204852,0.9736147757255936,0.984,0.4,1854,1159
NaiveBayes,spam_assassin_frac_50,learning_curve,0.9499568593615185,1.0,0.8469656992084432,0.9171428571428571,0.5,2317,1159
LogReg,spam_assassin_frac_50,learning_curve,0.9784296807592753,0.9758064516129032,0.9577836411609498,0.9667110519307589,0.5,2317,1159
LinearSVM,spam_assassin_frac_50,learning_curve,0.9896462467644521,0.9946091644204852,0.9736147757255936,0.984,0.5,2317,1159
NaiveBayes,spam_assassin_frac_60,learning_curve,0.9490940465918896,1.0,0.8443271767810027,0.9155937052932762,0.6,2781,1159
LogReg,spam_assassin_frac_60,learning_curve,0.9792924935289042,0.9758713136729222,0.9604221635883905,0.9680851063829787,0.6,2781,1159
LinearSVM,spam_assassin_frac_60,learning_curve,0.9896462467644521,0.9946091644204852,0.9736147757255936,0.984,0.6,2781,1159
NaiveBayes,spam_assassin_frac_70,learning_curve,0.9525452976704055,1.0,0.8548812664907651,0.9217638691322901,0.7,3244,1159
LogReg,spam_assassin_frac_70,learning_curve,0.9810181190681622,0.9811320754716981,0.9604221635883905,0.9706666666666667,0.7,3244,1159
LinearSVM,spam_assassin_frac_70,learning_curve,0.99137187230371,0.9946380697050938,0.978891820580475,0.9867021276595744,0.7,3244,1159
