model,tag,split,acc,prec,recall,f1,train_frac,n_train,n_test
NaiveBayes,trec2007_frac_10,learning_curve,0.9811203961621789,0.978971270609142,0.9908073541167066,0.9848537518001688,0.1,6461,16155
LogReg,trec2007_frac_10,learning_curve,0.9863819251005881,0.9865778484788228,0.9915067945643485,0.9890361806040068,0.1,6461,16155
LinearSVM,trec2007_frac_10,learning_curve,0.9900959455277004,0.9882014673805275,0.9959032773780975,0.9920374241066986,0.1,6461,16155
NaiveBayes,trec2007_frac_20,learning_curve,0.9882389353141442,0.9846001974333662,0.9966027178257394,0.9905651008044494,0.2,12923,16155
LogReg,trec2007_frac_20,learning_curve,0.9902197462086042,0.9900497512437811,0.9942046362909672,0.992122843753116,0.2,12923,16155
LinearSVM,trec2007_frac_20,learning_curve,0.9928814608480346,0.9918464750919758,0.9967026378896883,0.9942686269623724,0.2,12923,16155
NaiveBayes,trec2007_frac_30,learning_curve,0.9896007428040854,0.9870322708374579,0.9963029576338929,0.9916459472899055,0.3,19385,16155
LogReg,trec2007_frac_30,learning_curve,0.9925719591457753,0.992724735897947,0.9953037569944044,0.9940125735954496,0.3,19385,16155
LinearSVM,trec2007_frac_30,learning_curve,0.9954193748065614,0.9947211155378486,0.9979016786570744,0.9963088587390263,0.3,19385,16155
NaiveBayes,trec2007_frac_40,learning_curve,0.9900959455277004,0.9882014673805275,0.9959032773780975,0.9920374241066986,0.4,25847,16155
LogReg,trec2007_frac_40,learning_curve,0.993190962550294,0.9933213716108453,0.9957034372501998,0.9945109780439122,0.4,25847,16155
LinearSVM,trec2007_frac_40,learning_curve,0.9958526771897246,0.9953163926258096,0.9980015987210232,0.9966571870478471,0.4,25847,16155
NaiveBayes,trec2007_frac_50,learning_curve,0.9907149489322191,0.9890851359396706,0.9960031974420464,0.9925321119187493,0.5,32309,16155
LogReg,trec2007_frac_50,learning_curve,0.9937480656143609,0.9937207216186584,0.996203037569944,0.9949603313207924,0.5,32309,16155
LinearSVM,trec2007_frac_50,learning_curve,0.9959764778706283,0.9954160438465371,0.998101518784972,0.9967569725091054,0.5,32309,16155
NaiveBayes,trec2007_frac_60,learning_curve,0.991767254719901,0.98997717574675,0.996802557953637,0.993378142892706,0.6,38771,16155
LogReg,trec2007_frac_60,learning_curve,0.9944908696997834,0.9945159038787517,0.9966027178257394,0.9955582172979986,0.6,38771,16155
LinearSVM,trec2007_frac_60,learning_curve,0.9963478799133395,0.996011566457274,0.998101518784972,0.9970554474222688,0.6,38771,16155
NaiveBayes,trec2007_frac_70,learning_curve,0.9921386567626121,0.9899831399385104,0.9974020783373302,0.9936787616345627,0.7,45233,16155
LogReg,trec2007_frac_70,learning_curve,0.9950479727638502,0.9949152542372881,0.9971023181454837,0.996007585587384,0.7,45233,16155
LinearSVM,trec2007_frac_70,learning_curve,0.9964097802537913,0.9962098543786156,0.9980015987210232,0.9971049216332235,0.7,45233,16155
